"Life Regen",生命回复
"Passives in radius are Conquered by the Eternal Empire",范围内的天赋被永恒帝国抑制
"Commissioned {0} coins to commemorate Victario","用 {0} 枚金币纪念维多里奥"
"Commissioned {0} coins to commemorate Chitus","用 {0} 枚金币纪念切特斯"
"Can have a second Enchantment Modifier",可以有第二个附魔词缀
"Can have {0} extra Enchantment Modifiers","可附加 {0} 种额外的附魔词缀"
"Can roll Minion Modifiers",可以附加召唤词缀
"Prefixes Cannot Be Changed",前缀无法被改变
"Suffixes Cannot Be Changed",后缀无法被改变
"Cannot deal Critical Strikes with Attacks",攻击无法造成暴击
"Cannot roll Caster Modifiers",不能附加法术相关属性修正
"Cannot roll Attack Modifiers",不能附加武器攻击相关属性修正
"Can have multiple Crafted Modifiers",可以拥有多个大师工艺属性修正
"Cannot roll Modifiers with Required Level above {0}","无法附加需求 {0} 级以上的属性修正"
"Implicit Modifier magnitudes are doubled",固定基底词缀两倍效果加成
"Implicit Modifier magnitudes are tripled",固定基底词缀三倍效果加成
"{0}% increased Implicit Modifier magnitudes","{0}% 固定基底词缀效果加成"
"{0}% reduced Implicit Modifier magnitudes","{0}% 固定基底词缀效果降低"
"Has no Sockets",没有插槽
"Has {0} Abyssal Sockets","拥有 {0} 个深渊插槽"
"Has {0} Sockets","有 {0} 个插槽"
"Sockets cannot be modified",插槽无法被调整
"All Sockets Linked",连接所有插槽
"Has one socket of each colour","各色插槽均有 1 个"
"Gems can be Socketed in this Item ignoring Socket Colour",技能石可以无视此物品上的插槽颜色
"Consumes Socketed Support Gems when they reach Maximum Level",当插槽内的辅助宝石达到最大等级时吞噬该宝石
"Can Consume {0} Support Gem","可以吞噬 {0} 个辅助宝石"
"Has not Consumed any Gems",尚未吞噬任何宝石
"{0}% chance to Trigger a Socketed Warcry Skill when you lose Endurance Charges","当你失去耐力球时，有 {0}% 的几率触发一个插槽内的战吼"
"Trigger a Socketed Warcry Skill when you lose Endurance Charges",当你失去耐力球时，触发一个插槽内的战吼
"{0} to Level of Socketed Gems","插入的技能石等级 {0}"
"{0} to Level of Socketed Strength Gems","此物品上装备的力量技能石等级 {0}"
"{0} to Level of Socketed Dexterity Gems","此物品上装备的敏捷技能石等级 {0}"
"{0} to Level of Socketed Intelligence Gems","此物品上装备的智慧技能石等级 {0}"
"{0} to Level of Socketed Active Skill Gems per {1} Player Levels","人物等级每到达 {1} 级，该插槽内的【主动技能石】等级 {0}"
"Gems Socketed in Red Sockets have {0} to Level","红色插槽内的技能石 {0} 等级"
"Gems Socketed in Green Sockets have {0}% to Quality","绿色插槽内的技能石 {0}% 品质"
"Gems Socketed in Blue Sockets gain {0}% increased Experience","蓝色插槽内的技能石获得的经验提高 {0}%"
"{0} to Level of Socketed Fire Gems","此物品上装备的火焰技能石等级 {0}"
"{0} to Level of Socketed Cold Gems","此物品上装备的冰霜技能石等级 {0}"
"{0} to Level of Socketed Lightning Gems","此物品上装备的闪电技能石等级 {0}"
"{0} to Level of Socketed Chaos Gems","此物品上装备的混沌技能石等级 {0}"
"{0} to Level of Socketed Spell Gems","此物品上装备的法术技能石等级 {0}"
"{0} to Level of Socketed Duration Gems","此物品上装备的持续时间技能石等级 {0}"
"{0} to Level of Socketed AoE Gems","此物品上装备的效果区域技能石等级 {0}"
"{0} to Level of Socketed Projectile Gems","此物品上装备的投射物技能石等级 {0}"
"{0} to Level of Socketed Bow Gems","此物品上装备的弓技能石等级 {0}"
"{0} to Level of Socketed Melee Gems","此物品上装备的近战技能石等级 {0}"
"{0} to Level of Socketed Minion Gems","此物品上装备的召唤生物技能石等级 {0}"
"{0} to Level of Socketed Aura Gems","此物品上装备的光环技能石等级 {0}"
"{0} to Level of Socketed Herald Gems","此物品上装备的捷技能石等级 {0}"
"{0} to Level of Socketed Movement Gems","此物品上装备的位移技能石等级 {0}"
"{0} to Level of Socketed Curse Gems","插入的诅咒技能石等级 {0}"
"{0} to Level of Socketed Trap Gems","此物品上装备的陷阱技能石等级 {0}"
"{0} to Level of Socketed Trap or Mine Gems","此物品上装备的陷阱技能石或地雷技能石等级 {0}"
"{0} to Level of Socketed Vaal Gems","此物品上装备的瓦尔技能石等级 {0}"
"{0} to Level of Socketed Support Gems","此物品上装备的辅助技能石等级 {0}"
"{0} to Level of Socketed Active Skill Gems","此物品上装备的【主动技能石】等级 {0}"
"{0} to Level of Socketed Warcry Gems","此物品上装备的战吼技能石等级 {0}"
"Socketed Golem Skills have {0}% increased Attack and Cast Speed","插槽内魔像技能攻击和施法速度提高 {0}%"
"{0}% increased Effect of Buffs granted by Socketed Golem Skills","插槽内魔像技能的增益效果提高 {0}%"
"Socketed Golem Skills have {0}% chance to Taunt on Hit","插槽内魔像技能击中时有 {0}% 的几率嘲讽"
"Socketed Golem Skills have Minions Regenerate {0}% of Life per second","插槽内的魔像技能每秒再生 {0}% 生命"
"Gain Onslaught for {0} seconds when you Cast Socketed Golem Skill","玩家施放插槽内的魔像技能会获得 {0} 秒猛攻状态"
"Socketed Golem Skills gain {0}% of Maximum Life as Extra Maximum Energy Shield","插槽内魔像技能获得等同最大生命 {0}% 的额外能量护盾"
"{0} to Level of Socketed Golem Gems","此物品上装备的魔像技能石等级 {0}"
"{0}% to Quality of Socketed Gems","此物品上装备的技能石品质 {0}%"
"{0}% to Quality of Socketed Support Gems","此物品上装备的辅助技能石品质 {0}%"
"{0} to Level of Socketed Elemental Gems","此物品上的元素技能石等级 {0}"
"{0}% increased Effect of Socketed Jewels","插槽内的珠宝效果提高 {0}%"
"{0}% reduced Effect of Socketed Jewels","插槽内的珠宝效果降低 {0}%"
"Socketed Gems are Supported by Level {0} Increased Area of Effect","插入的辅助宝石受到 {0} 级的提高范围辅助"
"Socketed Gems are Supported by Level {0} Arcane Surge","插入的辅助宝石受到 {0} 级的秘术增强辅助"
"Socketed Gems are Supported by Level {0} Blessing","此物品上的技能石受到 {0} 级的 祝福 辅助"
"Socketed Gems are Supported by Level {0} Bloodlust","此物品上的技能石受到 {0} 级的血怒辅助"
"Socketed Gems are Supported by Level {0} Bonechill","此物品上的技能石受到 {0} 级的 彻骨 辅助"
"Socketed Gems are Supported by Level {0} Brutality","此物品上的技能石受到 {0} 级的残暴辅助"
"Socketed Gems are Supported by Level {0} Cast when Damage Taken","此物品上的技能石受到 {0} 级的受伤时施放辅助"
"Socketed Gems are Supported by Level {0} Cast On Melee Kill","此物品上的技能石受到 {0} 级的 近战击败敌人时施放 辅助"
"Socketed Gems are Supported by Level {0} Cast While Channelling","此物品上的技能石受到 {0} 级的吟唱时施放辅助"
"Socketed Gems are Supported by Level {0} Chain","此物品上的技能石受到 {0} 级的连锁辅助"
"Socketed Gems are Supported by Level {0} Chance To Bleed","此物品上的技能石受到 {0} 级的流血几率辅助"
"Socketed Gems are Supported by Level {0} Combustion","此物品上的技能石受到 {0} 级的灼烧辅助"
"Socketed Gems are Supported by Level {0} Charged Mines","插槽内的技能石受到 {0} 级的充能地雷辅助"
"Socketed Gems are Supported by Level {0} Close Combat","此物品上的技能石受到 {0} 级的贴身战斗辅助"
"Socketed Gems are Supported by Level {0} Culling Strike","镶嵌的技能宝石受 {0} 级终结辅助"
"Socketed Gems are Supported by Level {0} Curse On Hit","此物品上的技能石受到 {0} 级的 击中附加诅咒 辅助"
"Socketed Gems are Supported by Level {0} Deadly Ailments","此物品上的技能石受到 {0} 级的致命异常状态辅助"
"Socketed Gems are Supported by Level {0} Decay","此物品上的技能石受到 {0} 级的腐蚀辅助"
"Socketed Gems are Supported by Level {0} Efficacy","此物品上的技能石受到 {0} 级的效能辅助"
"Socketed Gems are Supported by Level {0} Elemental Focus","此物品上的技能石受到 {0} 级的元素集中辅助"
"Socketed Gems are Supported by Level {0} Elemental Penetration","此物品上的技能石受到 {0} 级的元素穿透辅助"
"Socketed Gems are Supported by Level {0} Empower","此物品上的技能石受到 {0} 级的给予辅助"
"Socketed Gems are Supported by Level {0} Energy Leech","此物品上的技能石受到 {0} 级的 能量偷取 辅助"
"Socketed Gems are Supported by Level {0} Enhance","此物品上的技能石受到 {0} 级的增幅辅助"
"Socketed Gems are Supported by Level {0} Enlighten","此物品上的技能石受到 {0} 级的启蒙辅助"
"Socketed Gems are Supported by Level {0} Feeding Frenzy","此物品上的技能石受到 {0} 级的狂怒饕餮辅助"
"Socketed Gems are Supported by Level {0} Fire Penetration","此物品上的技能石受到 {0} 级的火焰穿透辅助"
"Socketed Gems are Supported by Level {0} Charged Traps","此物品上的技能石受到 {0} 级的充能陷阱辅助"
"Socketed Gems are Supported by Level {0} Greater Multiple Projectiles","此物品上的技能石受到 {0} 级的高阶多重投射辅助"
"Socketed Gems are Supported by Level {0} Greater Spell Echo","此物品上的技能石受到 {0} 级的高等施法回响辅助"
"Socketed Gems are Supported by Level {0} Greater Volley","此物品上的技能石受到 {0} 级的高阶齐射辅助"
"Socketed Gems are Supported by Level {0} Ignite Proliferation","此物品上的技能石受到 {0} 级的点燃扩散辅助"
"Socketed Gems are Supported by Level {0} Immolate","此物品上的技能石受到 {0} 级的献祭辅助"
"Socketed Gems are Supported by Level {0} Impale","此物品上的技能石受到 {0} 级的穿刺辅助"
"Socketed Gems are Supported by Level {0} Burning Damage","此物品上的技能石受到 {0} 级的提高燃烧伤害辅助"
"Socketed Gems are Supported by Level {0} Increased Critical Strikes","此物品上的技能石受到 {0} 级的提高暴击几率辅助"
"Socketed Gems are Supported by Level {0} Increased Duration","此物品上的技能石受到 {0} 级的持续时间提高辅助"
"Socketed Gems are Supported by Level {0} Infernal Legion","插入的技能石受到 {0} 级的炎军辅助"
"Socketed Gems are Supported by Level {0} Iron Grip","此物品上的技能石受到 {0} 级的钢铁之握辅助"
"Socketed Gems are Supported by Level {0} Item Quantity","此物品上的技能石受到 {0} 级的物品数量增幅辅助"
"Socketed Gems are Supported by Level {0} Item Rarity","此物品上的技能石受到 {0} 级的物品稀有度增幅辅助"
"Socketed Gems are Supported by Level {0} Life Gain On Hit","此物品上的技能石受到 {0} 级的击中生命回复辅助"
"Socketed Gems are Supported by Level {0} Lightning Penetration","此物品上的技能石受到 {0} 级的闪电穿透辅助"
"Socketed Gems are Supported by Level {0} Maim","此物品上的技能石受到 {0} 级的瘫痪辅助"
"Socketed Gems are Supported by Level {0} Meat Shield","此物品上的技能石受到 {0} 级的肉盾辅助"
"Socketed Gems are Supported by Level {0} Damage On Full Life","此物品上的技能石受到 {0} 级的满血攻击物理伤害辅助"
"Socketed Gems are Supported by Level {0} Minefield","此物品上的技能石受到 {0} 级的地雷网辅助"
"Socketed Gems are Supported by Level {0} Mirage Archer","此物品上的技能石受到 {0} 级的幻影射手辅助"
"Socketed Gems are Supported by Level {0} Multiple Totems","此物品上的技能石受到 {0} 级的多重图腾辅助"
"Socketed Gems are Supported by Level {0} Spell Echo","此物品上的技能石受到 {0} 级的施法回响辅助"
"Socketed Gems are Supported by Level {0} Onslaught","此物品上的技能石受到 {0} 级的 猛攻 辅助"
"Socketed Gems are Supported by Level {0} Volley","此物品上的技能石受到 {0} 级的齐射辅助"
"Socketed Gems are Supported by Level {0} Vicious Projectiles","此物品上的技能石受到 {0} 级的邪恶投掷辅助"
"Socketed Gems are Supported by Level {0} Physical To Lightning","此物品上的技能石受到 {0} 级的物理转闪电辅助"
"Socketed Gems are Supported by Level {0} Point Blank","此物品上的技能石受到 {0} 级的零点射击辅助"
"Socketed Gems are Supported by Level {0} Poison","此物品上的技能石受到 {0} 级的 毒化 辅助"
"Socketed Gems are Supported by Level {0} Power Charge On Critical Strike","此物品上的技能石受到 {0} 级的 暴击获得暴击球 辅助"
"Socketed Gems are Supported by Level {0} Pulverise","此物品上的技能石受到 {0} 级的粉碎辅助"
"Socketed Gems are Supported by Level {0} Rage","此物品上的技能石受到 {0} 级的怒火辅助"
"Socketed Gems are Supported by Level {0} Ranged Attack Totem","此物品上的技能石受到 {0} 级的 远距离攻击图腾 辅助"
"Socketed Gems are Supported by Level {0} Swift Affliction","此物品上的技能石受到 {0} 级的极速腐化辅助"
"Socketed Gems are Supported by Level {0} Block Chance Reduction","此物品上的技能石受到 {0} 级的降低格挡几率辅助"
"Socketed Gems are Supported by Level {0} Less Duration","此物品上的技能石受到 {0} 级的持续时间缩短辅助"
"Socketed Gems are Supported by Level {0} High-Impact Mine","插槽内的技能石受到 {0} 级的高爆地雷辅助"
"Socketed Gems are Supported by Level {0} Ruthless","此物品上的技能石受到 {0} 级的无情辅助"
"Socketed Gems are Supported by Level {0} Shockwave","此物品上的技能石受到 {0} 级的震波辅助"
"Socketed Gems are Supported by Level {0} Slower Projectiles","此物品上的技能石受到 {0} 级的投射物减速辅助"
"Socketed Gems are Supported by Level {0} Spell Cascade","此物品上的技能石受到 {0} 级的多重范围施法辅助"
"Socketed Gems are Supported by Level {0} Intensify","插入的技能石被 {0} 级的凝聚辅助"
"Socketed Gems are Supported by Level {0} Ancestral Call","此物品上的技能石受到 {0} 级的先祖呼唤辅助"
"Socketed Gems are Supported by Level {0} Infused Channelling","此物品上的技能石受到 {0} 级的灌注吟唱辅助"
"Socketed Gems are Supported by Level {0} Elemental Army Support","此物品上的技能石受到 {0} 级的元素大军辅助"
"Socketed Gems are Supported by Level {0} Summon Phantasm","此物品上的技能石受到 {0} 级的召唤幻灵辅助"
"Socketed Gems are Supported by Level {0} Swift Assembly","插入的技能石受到 {0} 级的迅整辅助"
"Socketed Gems are Supported by Level {0} Advanced Traps","此物品上的技能石受到 {0} 级的陷阱冷却(辅)辅助"
"Socketed Gems are Supported by Level {0} Unbound Ailments","此物品上的技能石受到 {0} 级的异常爆发辅助"
"Socketed Gems are Supported by Level {0} Unleash","此物品上的技能石受到 {0} 级的释出辅助"
"Socketed Gems are Supported by Level {0} Void Manipulation","此物品上的技能石受到 {0} 级的虚空操纵辅助"
"Socketed Gems are Supported by Level {0} Withering Touch","此物品上的技能石受到 {0} 级的凋零之触辅助"
"Socketed Gems are Supported by Level {0} Concentrated Effect","此物品上的技能石受到 {0} 级的集中效应辅助"
"Socketed Gems are Supported by Level {0} Trap","此物品上的技能石受到 {0} 级的陷阱辅助"
"Socketed Gems are Supported by Level {0} Cluster Trap","此物品上的技能石受到 {0} 级的散弹陷阱辅助"
"Socketed Gems are Supported by Level {0} Multiple Traps","此物品上的技能石受到 {0} 级的多重陷阱辅助"
"Socketed Gems are Supported by Level {0} Trap And Mine Damage","此物品上的技能石受到 {0} 级的陷阱及地雷伤害辅助"
"Socketed Gems are Supported by Level {0} Added Chaos Damage","此物品上的技能石受到 {0} 级的附加混沌伤害辅助"
"Socketed Gems are Supported by Level {0} Blood Magic","此物品上的技能石受到 {0} 级的 血魔法 辅助"
"Socketed Gems are Supported by Level {0} Added Fire Damage","此物品上的技能石受到 {0} 级的附加火焰伤害辅助"
"Socketed Gems are Supported by Level {0} Cold to Fire","此物品上的技能石受到 {0} 级的寒冰转烈焰辅助"
"Socketed Gems are Supported by Level {0} Spell Totem","此物品上的技能石受到 {0} 级的法术图腾辅助"
"Socketed Gems are Supported by Level {0} Elemental Proliferation","此物品上的技能石受到 {0} 级的元素扩散辅助"
"Socketed Gems are Supported by Level {0} Added Lightning Damage","此物品上的技能石受到 {0} 级的附加闪电伤害辅助"
"Socketed Gems are Supported by Level {0} Melee Physical Damage","此物品上的技能石受到 {0} 级的近战物理伤害辅助"
"Socketed Gems are Supported by Level {0} Faster Attacks","此物品上的技能石受到 {0} 级的快速攻击辅助"
"Socketed Gems are supported by Level {0} Blind","此物品上的技能石受到 {0} 级的致盲辅助"
"Socketed Gems are supported by Level {0} Melee Splash","此物品上的技能石受到 {0} 级的近战伤害扩散辅助"
"Socketed Gems are supported by Level {0} Cast On Critical Strike","此物品上的技能石受到 {0} 级的 暴击时施放 辅助"
"Socketed Gems are supported by Level {0} Cast when Stunned","此物品上的技能石受到 {0} 级的晕眩时施放辅助"
"Socketed Gems are supported by Level {0} Cast on Death","此物品上的技能石受到 {0} 级的死亡时施放辅助"
"Socketed Gems are supported by Level {0} Stun","此物品上的技能石受到 {0} 级的晕眩辅助"
"Socketed Gems are supported by Level {0} Additional Accuracy","此物品上的技能石受到 {0} 级的额外命中辅助"
"Socketed Gems are supported by Level {0} Multistrike","此物品上的技能石受到 {0} 级的多重打击辅助"
"Socketed Gems are supported by Level {0} Faster Projectiles","此物品上的技能石受到 {0} 级的快速投射辅助"
"Socketed Gems are supported by Level {0} Life Leech","此物品上的技能石受到 {0} 级的生命偷取辅助"
"Socketed Gems are supported by Level {0} Increased Critical Damage","此物品上的技能石受到 {0} 级的提高暴击伤害辅助"
"Socketed Gems are supported by Level {0} Fork","此物品上的技能石受到 {0} 级的分裂辅助"
"Socketed Gems are supported by Level {0} Elemental Damage with Attacks","此物品上的技能石受到 {0}级的武器元素伤害攻击辅助"
"Socketed Gems are Supported by Level {0} Inspiration","此物品上的技能石受到 {0} 级的启迪辅助"
"Socketed Gems are Supported by Level {0} Generosity","此物品上的技能石受到 {0} 级的和善辅助"
"Socketed Gems are Supported by Level {0} Fortify","插入的宝石被 {0} 级的护体辅助"
"Socketed Gems are Supported by Level {0} Blastchain Mine","此物品上的技能石受到 {0} 级的链爆地雷辅助"
"Socketed Gems are supported by Level {0} Chance to Flee","此物品上的技能石受到 {0} 级的几率逃跑辅助"
"Socketed Gems are Supported by Level {0} Faster Casting","此物品上的技能石受到 {0} 级的快速施法辅助"
"Socketed Gems are Supported by Level {0} Iron Will","此物品上的技能石受到 {0} 级的钢铁意志辅助"
"Socketed Gems are Supported by Level {0} Knockback","此物品上的技能石受到 {0} 级的击退辅助"
"Socketed Gems are Supported by Level {0} Minion Life","此物品上的技能石受到 {0} 级的召唤生物生命辅助"
"Socketed Gems are Supported by Level {0} Lesser Multiple Projectiles","此物品上的技能石受到 {0} 级的低阶多重投射辅助"
"Socketed Gems are Supported by Level {0} Minion Damage","此物品上的技能石受到 {0} 级的召唤生物伤害辅助"
"Socketed Gems are Supported by Level {0} Increased Critical Damage","此物品上的技能石受到 {0} 级的提高暴击伤害辅助"
"Socketed Gems are Supported by Level {0} Minion Speed","此物品上的技能石受到 {0} 级的召唤生物速度辅助"
"Socketed Gems are supported by Level {0} Pierce","此物品上的技能石受到 {0} 级的穿透辅助"
"Socketed Gems are Supported by Level {0} Pierce","此物品上的技能石受到 {0} 级的穿透辅助"
"Socketed Gems are Supported by Level {0} Hypothermia","此物品上的技能石受到 {0} 级的急冻辅助"
"Socketed Gems are Supported by Level {0} Ice Bite","此物品上的技能石受到 {0} 级的霜咬辅助"
"Socketed Gems are Supported by Level {0} Cold Penetration","此物品上的技能石受到 {0} 级的冰霜穿透辅助"
"Socketed Gems are Supported by Level {0} Mana Leech","此物品上的技能石受到 {0} 级的魔力偷取辅助"
"Socketed Gems are Supported by Level {0} Added Cold Damage","此物品上的技能石受到 {0} 级的附加冰霜伤害辅助"
"Socketed Gems are Supported by Level {0} Blasphemy","此物品上的诅咒技能石受到 {0} 级的诅咒光环辅助"
"Socketed Gems are Supported by Level {0} Innervate","插槽内的技能石被 {0} 级的闪电支配辅助"
"Socketed Gems are Supported by Level {0} Vile Toxins","插槽内的的技能石被 {0} 级的猛毒辅助"
"Socketed Gems are Supported by Level {0} Lesser Poison","插槽内的的技能石被 {0} 级的低阶毒化辅助"
"Socketed Minion Gems are Supported by Level {0} Life Leech","此物品上的召唤生物技能石由 {0} 级的生命偷取辅助"
"Socketed Gems are Supported by Level {0} Controlled Destruction","此物品上的技能石由 {0} 级的精准破坏辅助"
"Socketed Gems are Supported by Level {0} Endurance Charge on Melee Stun","插槽内的技能石受到 {0} 级的近战击晕获得耐力球辅助"
"Socketed Gems have Blood Magic","此物品上的技能石受到 血魔法 辅助"
"Socketed Gems have {0}% increased Mana Reservation","此物品上的技能石提高 {0}% 魔力保留"
"Socketed Gems have {0}% reduced Mana Reservation","此物品上的技能石降低 {0}% 魔力保留"
"Socketed Gems Reserve No Mana",此物品上的技能石无魔力保留
"Socketed Skill Gems get a {0}% Mana Multiplier","此物品上的技能石魔力消耗倍率为原来的 {0}%"
"Socketed Melee Gems have {0}% increased Area of Effect","插槽内的的近战技能石范围提高 {0}%"
"Socketed Melee Gems have {0}% reduced Area of Effect","插槽内的的近战技能石范围降低 {0}%"
"Socketed Red Gems get {0}% Physical Damage as Extra Fire Damage","此物品上的红色技能石额外获得 {0}% 的物理伤害，并转化为火焰伤害"
"Socketed Skills Summon your maximum number of Totems in formation",此物品上的技能石能一次召唤出达到数量上限的图腾
"Socketed Gems have {0}% chance to Ignite","此物品上的技能石有 {0}% 的几率点燃敌人"
"Socketed Gems always Ignite",此物品上的技能石必定触发点燃
"Socketed Gems have {0}% chance to cause Enemies to Flee on Hit","此物品上的技能石有 {0}% 的几率使敌人逃跑"
"Enemies slain by Socketed Gems drop {0}% increased item quantity","使用此此物品上的技能石技能击败怪物时，物品掉落数量提高 {0}%"
"Enemies slain by Socketed Gems drop {0}% reduced item quantity","使用此此物品上的技能石技能击败怪物时，物品掉落数量降低 {0}%"
"Curses in this item are reflected back to you",此物品上的诅咒会被反弹回自己
"Socketed Gems have Iron Will",此物品上的技能石有钢铁意志效果
"Socketed Gems Chain {0} additional times","物品上的技能石会额外连锁弹射 {0} 次"
"Socketed Gems have {0}% Critical Strike Chance","插入的技能石 {0}% 暴击率"
"Spells in this item Repeat an additional time","此物品上的法术重复施放 1 次"
"Spells in this item Repeat an additional {0} times","此物品上的法术重复施放 {0} 次"
"{0}% chance to Trigger a Socketed Spell when you Attack with a Bow","当你用弓攻击时，有 {0}% 的几率触发一个插槽内的法术"
"Socketed Skills deal {0}% more Attack Damage","插槽内的技能造成的攻击伤害总增 {0}%"
"Socketed Skills deal {0}% less Attack Damage","插槽内的技能造成的攻击伤害总降 {0}%"
"Socketed Attacks have {0}% to Critical Strike Chance","插槽内的攻击技能获得 {0}% 基础暴击率"
"Socketed Attacks have {0}% to Critical Strike Multiplier","插槽内的攻击技能获得 {0}% 暴击伤害加成"
"Socketed Attacks have {0} to Total Mana Cost","插槽内攻击技能的总魔力消耗 {0}"
"Socketed Gems have {0}% more Attack and Cast Speed","此物品上的技能石总攻击和施法速度总增 {0}%"
"Socketed Gems deal {0}% more Elemental Damage","此物品上的技能石元素伤害总增 {0}%"
"Socketed Gems have {0}% reduced Mana Cost","此物品上的技能石魔力消耗降低 {0}%"
"Socketed Gems have {0}% increased Mana Cost","此物品上的技能石魔力消耗提高 {0}%"
"Socketed Gems deal {0} to {1} additional Fire Damage","此物品上的技能石额外造成 {0} - {1} 火焰伤害"
"Socketed Gems gain {0}% of Physical Damage as extra Lightning Damage","此物品上的技能石获得 {0}% 物理伤害，并转化为额外闪电伤害"
"Socketed Movement Skills have no Mana Cost",插槽内的移动技能不消耗魔力
"Socketed Skills have {0}% increased Attack Speed","插槽内的技能攻击速度提高 {0}%"
"Socketed Skills have {0}% reduced Attack Speed","插槽内的技能攻击速度降低 {0}%"
"Socketed Skills have {0}% increased Cast Speed","插槽内的技能施法速度提高 {0}%"
"Socketed Skills have {0}% reduced Cast Speed","插槽内的技能施法速度降低 {0}%"
"Socketed Skills deal {0}% more Spell Damage","插槽内的技能造成的法术伤害总增 {0}%"
"Socketed Skills deal {0}% less Spell Damage","插槽内的技能造成的法术伤害总降 {0}%"
"Socketed Spells have {0}% to Critical Strike Chance","插槽内的法术获得 {0}% 基础暴击率"
"Socketed Spells have {0}% to Critical Strike Multiplier","插槽内的法术获得 {0}% 暴击伤害加成"
"Socketed Spells have {0}% increased Mana Cost","插槽内的法术魔力消耗提高 {0}%"
"Socketed Spells have {0}% reduced Mana Cost","插槽内的法术魔力消耗降低 {0}%"
"Socketed Gems deal {0}% more Damage over Time","此物品上的技能石持续伤害总增 {0}%"
"Socketed Gems deal {0}% less Damage over Time","此物品上的技能石持续伤害总降 {0}%"
"Socketed Gems have Elemental Equilibrium",此物品上的技能石额外获得元素之相
"Socketed Non-Curse Aura Gems have {0}% increased Aura Effect","插槽内的非诅咒类范围技能石光环效果提高 {0}%"
"Socketed Non-Curse Aura Gems have {0}% reduced Aura Effect","插槽内的非诅咒类范围技能石光环效果降低 {0}%"
"Socketed Gems have {0}% increased Elemental Equilibrium effect","此物品上的技能石获得【元素之相】，效果提高 {0}%"
"Socketed Gems have {0}% reduced Elemental Equilibrium effect","此物品上的技能石获得【元素之相】，效果降低 {0}%"
"Socketed Gems fire an additional Projectile","此物品上的技能石可以发射 1 个额外投射物"
"Socketed Gems fire {0} additional Projectiles","此物品上的技能石可以发射 {0} 个额外投射物"
"Socketed Gems fire Projectiles in a Nova",此物品上的技能石投射物会以环状的方式发射
"Socketed Gems have {0}% increased Skill Effect Duration","此物品上的技能石提高 {0}% 技能效果持续时间"
"Socketed Gems have {0}% reduced Skill Effect Duration","此物品上的技能石降低 {0}% 技能效果持续时间"
"Traps from Socketed Skills create a Smoke Cloud when triggered",插槽内技能触发的陷阱会制造一阵烟雾
"Socketed Curse Gems have {0}% increased Mana Reservation","此物品上的诅咒技能石提高 {0}% 魔力保留"
"Socketed Curse Gems have {0}% reduced Mana Reservation","此物品上的诅咒技能石降低 {0}% 魔力保留"
"Skills from your Helmet Penetrate {0}% Elemental Resistances","你头部装备上的技能穿透 {0}% 元素抗性"
"Skills from your Gloves have {0}% increased Area of Effect","你手部装备上的技能范围扩大 {0}%"
"Skills from your Boots Leech {0}% of Damage as Life","你脚部装备上的技能所造成的 {0}% 伤害转化为生命偷取"
"Skills in your Helm have {0} to maximum number of Summoned Totems","你头部装备上的技能使召唤的图腾上限 {0}"
"Grants Level {0} Frostblink Skill","获得 {0} 级的冰霜闪现技能"
