" Beyond Bosses cannot spawn","이계 보스가 생성되지 않음"
"<enchanted>{0}% chance to contain an additional Incubator}}","<enchanted>{0}%의 확률로 인큐베이터 1개 추가 등장}}"
"<enchanted>{0}% chance to contain an additional Influenced Item}}","<enchanted>{0}%의 확률로 영향을 받은 아이템 1개 추가 등장}}"
"<enchanted>{0}% chance to contain an additional Map}}","<enchanted>{0}%의 확률로 지도 1개 추가 등장}}"
"<enchanted>{0}% chance to contain an additional Oil}}","<enchanted>{0}%의 확률로 성유 추가 등장}}"
"<enchanted>{0}% chance to contain an additional Rare Armour Item}}","<enchanted>{0}%의 확률로 희귀 방어구 아이템 1개 추가 등장}}"
"<enchanted>{0}% chance to contain an additional Rare Jewellery Item}}","<enchanted>{0}%의 확률로 희귀 장신구 아이템 1개 추가 등장}}"
"<enchanted>{0}% chance to contain an additional Rare Weapon}}","<enchanted>{0}%의 확률로 희귀 무기 아이템 1개 추가 등장}}"
"<enchanted>{0}% chance to contain an additional Sacrifice Fragment}}","<enchanted>{0}%의 확률로 희생 조각 1개 추가 등장}}"
"<enchanted>{0}% chance to contain an additional Scarab}}","<enchanted>{0}%의 확률로 갑충석 1개 추가 등장}}"
"<enchanted>{0}% chance to contain an additional Stacked Deck}}","<enchanted>{0}%의 확률로 카드 묶음 추가 등장}}"
"<enchanted>{0}% chance to contain an additional Talisman}}","<enchanted>{0}%의 확률로 부적 1개 추가 등장}}"
"<enchanted>{0}% chance to contain an additional Unique Item}}","<enchanted>{0}%의 확률로 고유 아이템 1개 추가 등장}}"
"<enchanted>{0}% chance to contain an additional valuable Gem}}","<enchanted>{0}%의 확률로 귀중한 젬 1개 추가 등장}}"
"<enchanted>{0}% chance to drop Corrupted Items}}","<enchanted>{0}%의 확률로 타락한 아이템을 떨어뜨림}}"
"<enchanted>{0}% chance to drop additional Black Scythe Artifacts}}","<enchanted>{0}%의 확률로 검은 낫 유물을 추가로 떨어뜨림}}"
"<enchanted>{0}% chance to drop additional Breach Splinters}}","<enchanted>{0}%의 확률로 균열 파편을 추가로 떨어뜨림}}"
"<enchanted>{0}% chance to drop additional Broken Circle Artifacts}}","<enchanted>{0}%의 확률로 끊어진 원 유물을 추가로 떨어뜨림}}"
"<enchanted>{0}% chance to drop additional Currency Items}}","<enchanted>{0}%의 확률로 화폐 아이템을 추가로 떨어뜨림}}"
"<enchanted>{0}% chance to drop additional Currency Shards}}","<enchanted>{0}%의 확률로 화폐 파편을 추가로 떨어뜨림}}"
"<enchanted>{0}% chance to drop additional Legion Splinters}}","<enchanted>{0}%의 확률로 군단 파편을 추가로 떨어뜨림}}"
"<enchanted>{0}% chance to drop additional Order Artifacts}}","<enchanted>{0}%의 확률로 성배단 유물을 추가로 떨어뜨림}}"
"<enchanted>{0}% chance to drop additional Ritual Splinters}}","<enchanted>{0}%의 확률로 의식의 파편을 추가로 떨어뜨림}}"
"<enchanted>{0}% chance to drop additional Simulacrum Splinters}}","<enchanted>{0}%의 확률로 복제된 영토 파편을 추가로 떨어뜨림}}"
"<enchanted>{0}% chance to drop additional Sun Artifacts}}","<enchanted>{0}%의 확률로 태양 유물을 추가로 떨어뜨림}}"
"<enchanted>{0}% chance to drop an additional Abyssal Jewel}}","<enchanted>{0}%의 확률로 심연 주얼 1개를 추가로 떨어뜨림}}"
"<enchanted>{0}% chance to drop an additional Catalyst}}","<enchanted>{0}%의 확률로 기폭제 1개를 추가로 떨어뜨림}}"
"<enchanted>{0}% chance to drop an additional Divination Card}}","<enchanted>{0}%의 확률로 점술 카드 1개를 추가로 떨어뜨림}}"
"<enchanted>{0}% chance to drop an additional Enchanted Item}}","<enchanted>{0}%의 확률로 인챈트된 아이템 1개를 추가로 떨어뜨림}}"
"<enchanted>{0}% chance to drop an additional Essence}}","<enchanted>{0}%의 확률로 에센스 1개를 추가로 떨어뜨림}}"
"<enchanted>{0}% chance to drop an additional Fossil}}","<enchanted>{0}%의 확률로 화석 1개를 추가로 떨어뜨림}}"
"<enchanted>{0}% chance to drop an additional Fractured Item}}","<enchanted>{0}%의 확률로 분열된 아이템 1개를 추가로 떨어뜨림}}"
"<enchanted>{0}% chance to drop an additional Gem}}","<enchanted>{0}%의 확률로 젬 1개를 추가로 떨어뜨림}}"
"<enchanted>{0}% chance to drop an additional Heist Contract}}","<enchanted>{0}%의 확률로 강탈 계약 1개를 추가로 떨어뜨림}}"
"<enchanted>{0}% chance to drop an additional Incubator}}","<enchanted>{0}%의 확률로 인큐베이터 1개를 추가로 떨어뜨림}}"
"<enchanted>{0}% chance to drop an additional Influenced Item}}","<enchanted>{0}%의 확률로 영향을 받은 아이템 1개를 추가로 떨어뜨림}}"
"<enchanted>{0}% chance to drop an additional Map}}","<enchanted>{0}%의 확률로 지도 1개를 추가로 떨어뜨림}}"
"<enchanted>{0}% chance to drop an additional Oil}}","<enchanted>{0}%의 확률로 성유 1개를 추가로 떨어뜨림}}"
"<enchanted>{0}% chance to drop an additional Rare Armour Item}}","<enchanted>{0}%의 확률로 희귀 방어구 1개를 추가로 떨어뜨림}}"
"<enchanted>{0}% chance to drop an additional Rare Jewellery Item}}","<enchanted>{0}%의 확률로 희귀 장신구 1개를 추가로 떨어뜨림}}"
"<enchanted>{0}% chance to drop an additional Rare Weapon}}","<enchanted>{0}%의 확률로 희귀 무기 1개를 추가로 떨어뜨림}}"
"<enchanted>{0}% chance to drop an additional Sacrifice Fragment}}","<enchanted>{0}%의 확률로 희생 조각 1개를 추가로 떨어뜨림}}"
"<enchanted>{0}% chance to drop an additional Scarab}}","<enchanted>{0}%의 확률로 갑충석 1개를 추가로 떨어뜨림}}"
"<enchanted>{0}% chance to drop an additional Stacked Deck}}","<enchanted>{0}%의 확률로 카드 묶음을 추가로 떨어뜨림}}"
"<enchanted>{0}% chance to drop an additional Talisman}}","<enchanted>{0}%의 확률로 부적 1개를 추가로 떨어뜨림}}"
"<enchanted>{0}% chance to drop an additional Unique Item}}","<enchanted>{0}%의 확률로 고유 아이템 1개를 추가로 떨어뜨림}}"
"<enchanted>{0}% chance to drop an additional valuable Gem}}","<enchanted>{0}%의 확률로 귀중한 젬 1개를 추가로 떨어뜨림}}"
"<enchanted>{0}% increased Experience}}","<enchanted>{0}% 증가}}"
"<enchanted>{0}% increased Pack size}}","<enchanted>{0}% 증가}}"
"<enchanted>{0}% increased Quantity of Artifacts dropped by Monsters}}","<enchanted>{0}% 증가}}"
"<enchanted>{0}% increased Quantity of Artifacts found in Excavated Chests}}","<enchanted>{0}% 증가}}"
"<enchanted>{0}% increased Quantity of Expedition Logbooks dropped by Runic Monsters}}","<enchanted>{0}% 증가}}"
"<enchanted>{0}% increased Quantity of Expedition Logbooks found in Excavated Chests}}","<enchanted>{0}% 증가}}"
"<enchanted>{0}% increased Quantity of Items Dropped by Monsters}}","<enchanted>{0}% 증가}}"
"<enchanted>{0}% increased Quantity of Items Found in Excavated Chests}}","<enchanted>{0}% 증가}}"
"<enchanted>{0}% increased Rarity of Items Dropped by Monsters}}","<enchanted>{0}% 증가}}"
"<enchanted>{0}% increased Rarity of Items Found in Excavated Chests}}","<enchanted>{0}% 증가}}"
"<enchanted>{0}% reduced Experience}}","<enchanted>{0}% 감소}}"
"<enchanted>{0}% reduced Pack size}}","<enchanted>{0}% 감소}}"
"<enchanted>{0}% reduced Quantity of Artifacts dropped by Monsters}}","<enchanted>{0}% 감소}}"
"<enchanted>{0}% reduced Quantity of Artifacts found in Excavated Chests}}","<enchanted>{0}% 감소}}"
"<enchanted>{0}% reduced Quantity of Expedition Logbooks dropped by Runic Monsters}}","<enchanted>{0}% 감소}}"
"<enchanted>{0}% reduced Quantity of Expedition Logbooks found in Excavated Chests}}","<enchanted>{0}% 감소}}"
"<enchanted>{0}% reduced Quantity of Items Dropped by Monsters}}","<enchanted>{0}% 감소"
"<enchanted>{0}% reduced Quantity of Items Found in Excavated Chests}}","<enchanted>{0}% 감소}}"
"<enchanted>{0}% reduced Rarity of Items Dropped by Monsters}}","<enchanted>{0}% 감소}}"
"<enchanted>{0}% reduced Rarity of Items Found in Excavated Chests}}","<enchanted>{0}% 감소}}"
"A Beyond Unique drops when the first Unique Monster from Beyond is slain","첫 번째 고유 이계 몬스터 처치 시 고유 이계 아이템 1개 떨어짐"
"A Monster in this Area will summon Abaxoth when Slain","이 지역의 몬스터 1마리 처치 시 아바소스 소환"
"A Monster in this Area will summon a Unique Monster from Beyond when Slain","이 지역의 몬스터 1마리 처치 시 고유 이계 몬스터 1마리 소환"
"A Rune is Improved for each {0} Mana Spent","마나를 {0} 소모할 때마다 룬 문자 향상"
"A Strongbox in this Area is Corrupted","이 지역에 있는 금고는 타락함"
"Abyss Jewels found are Corrupted and have {0} or {1} random Modifiers","발견하는 심연 주얼이 타락한 주얼로 떨어지며 무작위 속성 {0}개 또는 {1}개 보유"
"Abyss Jewels found have {0}% chance to be Corrupted and have {1} or {2} random Modifiers","발견하는 심연 주얼이 {0}%의 확률로 타락한 주얼로 떨어지며 무작위 속성 {1}개 또는 {2}개 보유"
"Abysses contain monsters from Beyond this realm","심연에 이계 몬스터 등장"
"Abysses have already fully opened","심연이 이미 완전히 열려 있음"
"Abysses in Area have {0}% increased chance to lead to an Abyssal Depths","지역 내 심연이 심연 지하로 이어질 확률 {0}% 증가"
"Abysses in Area have {0}% reduced chance to lead to an Abyssal Depths","지역 내 심연이 심연 지하로 이어질 확률 {0}% 감소"
"Abysses in Area spawn {0}% increased Monsters","지역 내 심연에서 생성되는 몬스터 {0}% 증가"
"Abysses in Area spawn {0}% reduced Monsters","지역 내 심연에서 생성되는 몬스터 {0}% 감소"
"Accuracy Rating while wielding a Sword","쌍수 타격의 정확도 {0}% 감소"
"Action Speed cannot be Slowed below Base Value if you've cast Temporal Chains in the past {0} seconds","최근 {0}초 이내 시간의 사슬을 시전한 경우 동작 속도가 기본 수치 밑으로 내려가지 않음"
"Action Speed cannot be modified to below base value","동작 속도가 기본 수치 밑으로 내려가지 않음"
"Action Speed cannot be modified to below {0}% base value","동작 속도가 기본 수치 {0}% 밑으로 내려가지 않음"
"Action Speed cannot be modified to below {0}% of base value","동작 속도가 기본 수치 {0}% 밑으로 내려가지 않음"
"Activates every second while Attached","낙인이 부착된 동안 1초마다 활성화"
"Activates every {0} second while Attached","낙인이 부착된 동안 {0}초마다 활성화"
"Activates every {0} seconds while Attached","낙인이 부착된 동안 {0}초마다 활성화"
"Activates once when Attached, then is Destroyed","부착 시 1회 활성화한 후 파괴"
"Adapt to each Element on use","사용 시 각 원소에 적응"
"Adaptations apply to all Elemental Damage during Effect","효과를 받는 동안 적응이 모든 원소 피해에 적용"
"Added Chaos Damage equal to {0}% of Flask's Recovery Amount if Charges were consumed from a Life Flask","충전이 생명력 플라스크에서 소모되었을 경우, 플라스크의 회복량의 {0}%와 동일한 카오스 피해 추가"
"Added Small Passive Skills also grant: Channelling Skills have {0}% increased Attack and Cast Speed","추가되는 소형 패시브 스킬이 집중 유지 스킬의 공격 및 시전 속도 {0}% 증가"
"Added Small Passive Skills also grant: Minions Regenerate {0}% of Life per Second","추가되는 소형 패시브 스킬이 1초마다 소환수 생명력의 {0}%만큼 소환수 생명력 재생"
"Added Small Passive Skills also grant: Minions have {0}% increased Attack and Cast Speed while you are affected by a Herald","추가되는 소형 패시브 스킬이 소환수가 전령의 영향을 받는 동안 공격 및 시전 속도 {0}% 증가"
"Added Small Passive Skills also grant: Minions have {0}% increased Attack and Cast Speed","추가되는 소형 패시브 스킬이 소환수의 공격 및 시전 속도 {0}% 증가"
"Added Small Passive Skills also grant: Regenerate {0}% of Life per Second","추가되는 소형 패시브 스킬이 1초마다 생명력의 {0}%만큼 재생"
"Added Small Passive Skills also grant: {0} to All Attributes","추가되는 소형 패시브 스킬이 모든 능력치 {0} 부여"
"Added Small Passive Skills also grant: {0} to Armour","추가되는 소형 패시브 스킬이 방어도 {0} 부여"
"Added Small Passive Skills also grant: {0} to Dexterity","추가되는 소형 패시브 스킬이 민첩 {0} 부여"
"Added Small Passive Skills also grant: {0} to Evasion","추가되는 소형 패시브 스킬이 회피 {0} 부여"
"Added Small Passive Skills also grant: {0} to Intelligence","추가되는 소형 패시브 스킬이 지능 {0} 부여"
"Added Small Passive Skills also grant: {0} to Maximum Energy Shield","추가되는 소형 패시브 스킬이 에너지 보호막 최대치 {0} 부여"
"Added Small Passive Skills also grant: {0} to Maximum Life","추가되는 소형 패시브 스킬이 최대 생명력 {0} 부여"
"Added Small Passive Skills also grant: {0} to Maximum Mana","추가되는 소형 패시브 스킬이 최대 마나 {0} 부여"
"Added Small Passive Skills also grant: {0} to Strength","추가되는 소형 패시브 스킬이 힘 {0} 부여"
"Added Small Passive Skills also grant: {0}% increased Area of Effect of Aura Skills","추가되는 소형 패시브 스킬이 오라 스킬의 효과 범위 {0}% 증가"
"Added Small Passive Skills also grant: {0}% increased Area of Effect of Hex Skills","추가되는 소형 패시브 스킬이 사술 스킬의 효과 범위 {0}% 증가"
"Added Small Passive Skills also grant: {0}% increased Area of Effect","추가되는 소형 패시브 스킬이 효과 범위 {0}% 증가"
"Added Small Passive Skills also grant: {0}% increased Attack Speed","추가되는 소형 패시브 스킬이 공격 속도 {0}% 증가"
"Added Small Passive Skills also grant: {0}% increased Attack and Cast Speed while affected by a Herald","추가되는 소형 패시브 스킬이 전령의 영향을 받는 동안 공격 및 시전 속도 {0}% 증가"
"Added Small Passive Skills also grant: {0}% increased Attack and Cast Speed with Chaos Skills","추가되는 소형 패시브 스킬이 카오스 스킬의 공격 및 시전 속도 {0}% 증가"
"Added Small Passive Skills also grant: {0}% increased Attack and Cast Speed with Cold Skills","추가되는 소형 패시브 스킬이 냉기 스킬의 공격 및 시전 속도 {0}% 증가"
"Added Small Passive Skills also grant: {0}% increased Attack and Cast Speed with Elemental Skills","추가되는 소형 패시브 스킬이 원소 스킬의 공격 및 시전 속도 {0}% 증가"
"Added Small Passive Skills also grant: {0}% increased Attack and Cast Speed with Fire Skills","추가되는 소형 패시브 스킬이 화염 스킬의 공격 및 시전 속도 {0}% 증가"
"Added Small Passive Skills also grant: {0}% increased Attack and Cast Speed with Lightning Skills","추가되는 소형 패시브 스킬이 번개 스킬의 공격 및 시전 속도 {0}% 증가"
"Added Small Passive Skills also grant: {0}% increased Attack and Cast Speed with Physical Skills","추가되는 소형 패시브 스킬이 물리 스킬의 공격 및 시전 속도 {0}% 증가"
"Added Small Passive Skills also grant: {0}% increased Brand Attachment range","추가되는 소형 패시브 스킬이 낙인 부착 범위 {0}% 증가"
"Added Small Passive Skills also grant: {0}% increased Cast Speed","추가되는 소형 패시브 스킬이 시전 속도 {0}% 증가"
"Added Small Passive Skills also grant: {0}% increased Damage over Time","추가되는 소형 패시브 스킬이 지속 피해 {0}% 증가"
"Added Small Passive Skills also grant: {0}% increased Damage","추가되는 소형 패시브 스킬이 주는 피해 {0}% 증가"
"Added Small Passive Skills also grant: {0}% increased Duration of Elemental Ailments on Enemies","추가되는 소형 패시브 스킬이 적에게 적용되는 원소 상태 이상 지속시간 {0}% 증가"
"Added Small Passive Skills also grant: {0}% increased Flask Charges gained","추가되는 소형 패시브 스킬이 플라스크 충전량 {0}% 증가"
"Added Small Passive Skills also grant: {0}% increased Mana Regeneration Rate","추가되는 소형 패시브 스킬이 마나 재생 속도 {0}% 증가"
"Added Small Passive Skills also grant: {0}% increased Projectile Speed","추가되는 소형 패시브 스킬이 투사체 속도 {0}% 증가"
"Added Small Passive Skills also grant: {0}% increased Totem Placement speed","추가되는 소형 패시브 스킬이 토템 설치 속도 {0}% 증가"
"Added Small Passive Skills also grant: {0}% increased Trap and Mine Throwing Speed","추가되는 소형 패시브 스킬이 덫과 지뢰 투척 속도 {0}% 증가"
"Added Small Passive Skills also grant: {0}% increased Warcry Duration","추가되는 소형 패시브 스킬이 함성 지속시간 {0}% 증가"
"Added Small Passive Skills also grant: {0}% to Chaos Resistance","추가되는 소형 패시브 스킬이 카오스 저항 {0}% 부여"
"Added Small Passive Skills also grant: {0}% to Cold Resistance","추가되는 소형 패시브 스킬이 냉기 저항 {0}% 부여"
"Added Small Passive Skills also grant: {0}% to Critical Strike Multiplier","추가되는 소형 패시브 스킬이 치명타 피해 배율 {0}% 부여"
"Added Small Passive Skills also grant: {0}% to Fire Resistance","추가되는 소형 패시브 스킬이 화염 저항 {0}% 부여"
"Added Small Passive Skills also grant: {0}% to Lightning Resistance","추가되는 소형 패시브 스킬이 번개 저항 {0}% 부여"
"Added Small Passive Skills also grant: {0}% to all Elemental Resistances","추가되는 소형 패시브 스킬이 원소 저항 {0}% 부여"
"Added Small Passive Skills grant Nothing","추가되는 소형 패시브 스킬이 아무것도 부여하지 않음"
"Added Small Passive Skills have {0}% increased Effect","추가되는 소형 패시브 스킬의 효과 {0}% 증가"
"Additional Debuff stages add {0}% of Damage","디버프 단계 추가 시 피해 {0}% 추가"
"Additional {0} Mana drained per second while moving","이동 중 1초마다 마나 {0} 추가 흡수"
"Additional {0} seconds Base Duration per extra corpse Consumed","추가로 소모한 시신 하나당 기본 지속시간 {0}초 추가"
"Adds Disciple of Kitava","키타바의 신봉자 추가"
"Adds Hollow Palm Technique","공허의 손아귀 기술 추가"
"Adds Kineticism","역학의 예술 추가"
"Adds Knockback to Melee Attacks during Effect","효과를 받는 동안 근접 공격에 밀어내기 추가"
"Adds Lone Messenger","고독한 전달자 추가"
"Adds Nature's Patience","자연의 인내 추가"
"Adds Pitfighter","투사 추가"
"Adds Secrets of Suffering","고통의 비밀 추가"
"Adds Veteran's Awareness","노병의 마음가짐 추가"
"Adds {0} Jewel Socket Passive Skill","주얼 슬롯 패시브 스킬 {0}개 추가"
"Adds {0} Jewel Socket Passive Skills","주얼 슬롯 패시브 스킬 {0}개 추가"
"Adds {0} Passive Skill","패시브 스킬 {0}개 추가"
"Adds {0} Passive Skills","패시브 스킬 {0}개 추가"
"Adds {0} Small Passive Skill which grants nothing","아무것도 부여하지 않는 소형 패시브 스킬 {0}개 추가"
"Adds {0} Small Passive Skills which grant nothing","아무것도 부여하지 않는 소형 패시브 스킬 {0}개 추가"
"Adds {0} maximum Cold Damage to Spells per Power Charge","권능 충전 하나당 주문 시전 시 최대 {0}의 냉기 피해 추가"
"Adds {0} maximum Lightning Damage per {1} Intelligence","지능 {1}당 최대 번개 피해 {0} 추가"
"Adds {0} minimum Cold Damage to Spells per Power Charge","권능 충전 하나당 주문 시전 시 최소 {0}의 냉기 피해 추가"
"Adds {0} seconds to monster response time","몬스터 응답 시간 {0}초 추가"
"Adds {0} to {1} Attack Physical Damage to Melee Skills per {2} Dexterity while you are Unencumbered","홀가분 상태에서 민첩 {2}당 공격 물리 피해 {0}~{1} 추가"
"Adds {0} to {1} Chaos Damage for each Curse on the Enemy","적에게 적용된 저주 하나당 카오스 피해 {0}~{1} 추가"
"Adds {0} to {1} Chaos Damage for each Spider's Web on the Enemy","적에게 적용된 거미줄 하나당 카오스 피해 {0}~{1} 추가"
"Adds {0} to {1} Chaos Damage if you've dealt a Critical Strike Recently","최근 4초 이내 치명타 명중 시 카오스 피해 {0}~{1} 추가"
"Adds {0} to {1} Chaos Damage if you've taken a Critical Strike Recently","최근 4초 이내 치명타를 맞은 경우 카오스 피해 {0}~{1} 추가"
"Adds {0} to {1} Chaos Damage in Off Hand","보조 장비로 사용 시 카오스 피해 {0}~{1} 추가"
"Adds {0} to {1} Chaos Damage to Attacks against you","플레이어에 대한 공격에 카오스 피해 {0}~{1} 추가"
"Adds {0} to {1} Chaos Damage to Attacks per {2} Strength","공격 시 힘 {2}당 카오스 피해 {0}~{1} 추가"
"Adds {0} to {1} Chaos Damage to Attacks while you have a Bestial Minion","흉포한 소환수를 보유하는 동안 공격 시 카오스 피해 {0}~{1} 추가"
"Adds {0} to {1} Chaos Damage to Attacks with this Weapon per {2} of your lowest Attribute","이 무기로 공격 시 가장 낮은 능력치 {2}당 카오스 피해 {0}~{1} 추가"
"Adds {0} to {1} Chaos Damage to Attacks","공격 시 카오스 피해 {0}~{1} 추가"
"Adds {0} to {1} Chaos Damage to Hits against Cursed Enemies","저주받은 적 명중 시 카오스 피해 {0}~{1} 추가"
"Adds {0} to {1} Chaos Damage to Spells and Attacks during any Flask Effect","아무 플라스크나 효과를 받는 동안 주문 및 공격 시 카오스 피해 {0}~{1} 추가"
"Adds {0} to {1} Chaos Damage to Spells and Attacks per {2} Strength","힘 {2}당 주문 및 공격에 카오스 피해 {0}~{1} 추가"
"Adds {0} to {1} Chaos Damage to Spells","주문 시전 시 카오스 피해 {0}~{1} 추가"
"Adds {0} to {1} Chaos Damage","카오스 피해 {0}~{1} 추가"
"Adds {0} to {1} Cold Damage against Chilled Enemies","냉각된 적에게 냉기 피해 {0}~{1} 추가"
"Adds {0} to {1} Cold Damage against Chilled or Frozen Enemies","냉각 또는 동결된 적에게 냉기 피해 {0}~{1} 추가"
"Adds {0} to {1} Cold Damage if you've been Hit Recently","최근 4초 이내 피격된 경우 냉기 피해 {0}~{1} 추가"
"Adds {0} to {1} Cold Damage if you've dealt a Critical Strike Recently","최근 4초 이내 치명타 명중 시 냉기 피해 {0}~{1} 추가"
"Adds {0} to {1} Cold Damage in Off Hand","보조 장비로 사용 시 냉기 피해 {0}~{1} 추가"
"Adds {0} to {1} Cold Damage to Attacks against you","플레이어에 대한 공격에 냉기 피해 {0}~{1} 추가"
"Adds {0} to {1} Cold Damage to Attacks per {2} Dexterity","민첩 {2}당 공격 시 냉기 피해 {0}~{1} 추가"
"Adds {0} to {1} Cold Damage to Attacks with this Weapon per {2} Dexterity","민첩 {2}당 이 무기 공격 시 냉기 피해 {0}~{1} 추가"
"Adds {0} to {1} Cold Damage to Attacks","공격 시 냉기 피해 {0}~{1} 추가"
"Adds {0} to {1} Cold Damage to Counterattacks","반격에 냉기 피해 {0}~{1} 추가"
"Adds {0} to {1} Cold Damage to Hits against you per Frenzy Charge","격분 충전 하나당 플레이어에 대한 명중에 냉기 피해 {0}~{1} 추가"
"Adds {0} to {1} Cold Damage to Hits against you","플레이어에 대한 명중에 냉기 피해 {0}~{1} 추가"
"Adds {0} to {1} Cold Damage to Spells and Attacks","주문 및 공격 시 냉기 피해 {0}~{1} 추가"
"Adds {0} to {1} Cold Damage to Spells per Power Charge","권능 충전 하나당 주문 시전 시 냉기 피해 {0}~{1} 추가"
"Adds {0} to {1} Cold Damage to Spells while no Life is Reserved","생명력이 점유되지 않은 상태에서 주문 시전 시 냉기 피해 {0}~{1} 추가"
"Adds {0} to {1} Cold Damage to Spells","주문 시전 시 냉기 피해 {0}~{1} 추가"
"Adds {0} to {1} Cold Damage while affected by Hatred","증오의 영향을 받는 동안 냉기 피해 {0}~{1} 추가"
"Adds {0} to {1} Cold Damage while you have Avian's Might","새의 힘을 보유하는 동안 냉기 피해 {0}~{1} 추가"
"Adds {0} to {1} Cold Damage","냉기 피해 {0}~{1} 추가"
"Adds {0} to {1} Fire Attack Damage per Buff on you","플레이어에게 적용되는 버프 하나당 화염 공격 피해 {0}~{1} 추가"
"Adds {0} to {1} Fire Damage against Ignited Enemies","점화된 적에게 화염 피해 {0}~{1} 추가"
"Adds {0} to {1} Fire Damage if you've Blocked Recently","최근 4초 이내 막아낸 경우 화염 피해 {0}~{1} 추가"
"Adds {0} to {1} Fire Damage if you've Killed Recently","최근 4초 이내 적을 처치한 경우 화염 피해 {0}~{1} 추가"
"Adds {0} to {1} Fire Damage if you've dealt a Critical Strike Recently","최근 4초 이내 치명타 명중 시 화염 피해 {0}~{1} 추가"
"Adds {0} to {1} Fire Damage in Main Hand","주 무기로 사용 시 화염 피해 {0}~{1} 추가"
"Adds {0} to {1} Fire Damage per Buff on you","플레이어에게 적용되는 버프 하나당 화염 피해 {0}~{1} 추가"
"Adds {0} to {1} Fire Damage to Attacks against Ignited Enemies","점화된 적 공격에 대한 화염 피해 {0}~{1} 추가"
"Adds {0} to {1} Fire Damage to Attacks against you","플레이어에 대한 공격에 화염 피해 {0}~{1} 추가"
"Adds {0} to {1} Fire Damage to Attacks per {2} Strength","힘 {2}당 공격 시 화염 피해 {0}~{1} 추가"
"Adds {0} to {1} Fire Damage to Attacks with this Weapon per {2} Strength","이 무기로 공격 시 힘 {2}당 화염 피해 {0}~{1} 추가"
"Adds {0} to {1} Fire Damage to Attacks","공격 시 화염 피해 {0}~{1} 추가"
"Adds {0} to {1} Fire Damage to Hits against you","플레이어에 대한 명중에 화염 피해 {0}~{1} 추가"
"Adds {0} to {1} Fire Damage to Hits with this Weapon against Blinded Enemies","이 무기로 실명된 적 명중 시 화염 피해 {0}~{1} 추가"
"Adds {0} to {1} Fire Damage to Spells and Attacks","주문 및 공격 시 화염 피해 {0}~{1} 추가"
"Adds {0} to {1} Fire Damage to Spells while no Life is Reserved","생명력이 점유되지 않은 상태에서 주문 시전 시 화염 피해 {0}~{1} 추가"
"Adds {0} to {1} Fire Damage to Spells","주문 시전 시 화염 피해 {0}~{1} 추가"
"Adds {0} to {1} Fire Damage","화염 피해 {0}~{1} 추가"
